distance_km_total,success_pct,collisions_per_km,lane_inv_per_km,lane_inv_per_100m,off_center_m,heading_err,mean_speed_kmh,max_speed_kmh,episodes,method,Method,seed
6.65095330047607,85.9375,0.0,111.86366320550545,11.186366320550539,0.592013678746298,0.01842425006907429,17.215029802173376,27.930203646421432,64,sem_plus_adv_aux,sem_plus_adv_aux,0
6.659156822204587,85.9375,0.0,120.13532964600633,12.013532964600628,0.5554602839984,0.018344930707826227,17.329797968268394,27.624216079711914,64,sem_plus_adv_aux,sem_plus_adv_aux,1
6.7234136466979955,87.5,0.0,109.31946755365459,10.931946755365455,0.5719896054361016,0.018570952190202612,17.566727289929986,27.02463698387146,64,sem_plus_adv_aux,sem_plus_adv_aux,2
6.511242427825925,84.375,0.0,107.65994474484047,10.765994474484042,0.5844901567324996,0.017838642241258584,17.31369884312153,27.015999734401703,64,sem_plus_adv_aux,sem_plus_adv_aux,3
6.555957725524899,84.375,0.0,99.45152597026515,9.94515259702651,0.5441799748223275,0.01753460368490773,17.444353006780148,27.415165036916733,64,sem_plus_adv_aux,sem_plus_adv_aux,4
6.364887138366696,76.5625,0.0,98.82343336592275,9.882343336592271,0.5564190724398941,0.015077188014402006,21.624778494238853,33.632308065891266,64,dreamer_aug,dreamer_aug,0
6.451079700469968,81.25,0.0,100.1382760707387,10.013827607073866,0.5535954867955297,0.014583706390112586,21.73506686091423,33.920551508665085,64,dreamer_aug,dreamer_aug,1
6.334235580444334,79.6875,0.0,125.66630809524804,12.566630809524801,0.5795710308011621,0.015581350700813294,21.70282121002674,34.515048146247864,64,dreamer_aug,dreamer_aug,2
6.294991550445554,81.25,0.0,108.97552355752497,10.89755235575249,0.5410890909843147,0.015384437603643115,21.81187714636326,34.19548010826111,64,dreamer_aug,dreamer_aug,3
6.3262156791686985,81.25,0.0,95.00150334409321,9.500150334409318,0.5220618256134912,0.014364861446665555,21.51575542986393,33.259447783231735,64,dreamer_aug,dreamer_aug,4
6.722009906768796,84.375,0.0,104.58181552099575,10.458181552099571,0.6484402960631996,0.01561681780731301,18.788901388645172,27.53020152449608,64,dreamer_dann,dreamer_dann,0
6.569742010116574,79.6875,0.0,105.3313811918957,10.533138119189566,0.7180031898897141,0.016386189250624683,18.794033244252205,27.5133338868618,64,dreamer_dann,dreamer_dann,1
6.501290008544919,84.375,0.0,120.59145169182668,12.059145169182662,0.6570919069927186,0.015293002434191245,18.254460901021957,26.357526689767838,64,dreamer_dann,dreamer_dann,2
6.71187669754028,84.375,0.0,103.10082130287036,10.31008213028703,0.6847249803831801,0.014552634063875256,18.65996590256691,26.538693845272064,64,dreamer_dann,dreamer_dann,3
6.508372646331784,79.6875,0.0,108.0147124636788,10.801471246367875,0.6979126748628914,0.017337399767711717,18.848076969385147,27.690525501966476,64,dreamer_dann,dreamer_dann,4
5.261259147644041,51.5625,0.0,90.4726390854839,9.047263908548388,0.9027788818348199,0.016326279226632278,19.738342568278313,28.22502475976944,64,sem_rollout_aux,sem_rollout_aux,0
5.3737468719482395,56.25,0.18608989664551362,94.90584728921195,9.49058472892119,0.8916059485636652,0.016875112385605417,19.89600397646427,29.0174503326416,64,sem_rollout_aux,sem_rollout_aux,1
5.320429096221922,56.25,0.0,98.67625157767944,9.86762515776794,0.8766481201164424,0.016014508131775025,19.49957676231861,27.87924274802208,64,sem_rollout_aux,sem_rollout_aux,2
